	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 5000 probes.

elevators-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
bound		ida*-bfs (exp)		ss-bfs (exp)
9		1			1
14		4			4
15		22			22
16		37			37
17		43			43
20		220			214.037
21		844			846.691
22		1424			1436.17
23		1843			1737.29
24		2034			1976.52
25		2452			2393.37
26		14772			14943.5
27		50467			43284.3
28		92722			88157.4
29		122292			103625
30		142238			109929
31		224578			161333
32		1.30574e+06			839429
33		4.69119e+06			2.76426e+06
34		9.21924e+06			1.00593e+07
35		1.31689e+07			1.02706e+07
36		1.58594e+07			1.09514e+07
