	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 100 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
152		37439			----zero_info----
153		70553			----zero_info----
154		154443			----zero_info----
155		288581			----zero_info----
156		640700			----zero_info----
157		1.19228e+06			----zero_info----

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
154		2			----zero_info----
156		4			----zero_info----
158		7			----zero_info----
159		8			----zero_info----
160		13			----zero_info----
161		15			----zero_info----
162		21			----zero_info----
163		24			----zero_info----
164		31			----zero_info----
165		35			----zero_info----
166		43			----zero_info----
167		48			----zero_info----
168		57			----zero_info----
169		63			----zero_info----
170		85			----zero_info----
171		94			----zero_info----
172		118			----zero_info----
173		131			----zero_info----
174		157			----zero_info----
175		174			----zero_info----
176		202			----zero_info----
177		223			----zero_info----
178		292			----zero_info----
179		325			----zero_info----
180		575			----zero_info----
181		647			----zero_info----
182		1616			----zero_info----
183		1861			----zero_info----
184		5795			----zero_info----
185		6915			----zero_info----
186		23356			----zero_info----
187		29919			----zero_info----
188		102246			----zero_info----
189		148146			----zero_info----
190		496728			----zero_info----
191		858059			----zero_info----

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
428		2			----zero_info----
429		33			----zero_info----

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
346		1			----zero_info----
359		2			----zero_info----
360		3			----zero_info----
365		5			----zero_info----
380		6			----zero_info----
382		8			----zero_info----
384		12			----zero_info----
385		13			----zero_info----
387		14			----zero_info----
389		16			----zero_info----
390		17			----zero_info----
392		18			----zero_info----
393		19			----zero_info----
396		21			----zero_info----
397		22			----zero_info----
398		23			----zero_info----
399		25			----zero_info----
401		26			----zero_info----
403		31			----zero_info----
404		34			----zero_info----
405		35			----zero_info----
406		37			----zero_info----
407		38			----zero_info----
408		46			----zero_info----
409		49			----zero_info----
411		53			----zero_info----
412		55			----zero_info----
413		58			----zero_info----
414		59			----zero_info----
415		60			----zero_info----
416		63			----zero_info----
417		65			----zero_info----
418		66			----zero_info----
420		73			----zero_info----
421		80			----zero_info----
422		90			----zero_info----
423		95			----zero_info----
424		102			----zero_info----
425		106			----zero_info----
426		115			----zero_info----
427		134			----zero_info----
428		145			----zero_info----
429		161			----zero_info----
430		175			----zero_info----
431		183			----zero_info----
432		201			----zero_info----
433		220			----zero_info----
434		223			----zero_info----
435		232			----zero_info----
436		250			----zero_info----
437		267			----zero_info----
438		272			----zero_info----
439		279			----zero_info----
440		291			----zero_info----
441		314			----zero_info----
442		325			----zero_info----
443		336			----zero_info----
444		364			----zero_info----
445		389			----zero_info----
446		437			----zero_info----
447		487			----zero_info----
448		520			----zero_info----
449		562			----zero_info----
450		619			----zero_info----
451		690			----zero_info----
452		741			----zero_info----
453		807			----zero_info----
454		849			----zero_info----
455		898			----zero_info----
456		983			----zero_info----
457		1050			----zero_info----
458		1118			----zero_info----
459		1172			----zero_info----
460		1286			----zero_info----
461		1390			----zero_info----
462		1442			----zero_info----
463		1498			----zero_info----
464		1607			----zero_info----
465		1733			----zero_info----
466		1855			----zero_info----
467		1951			----zero_info----
468		2127			----zero_info----
469		2266			----zero_info----
470		2502			----zero_info----
471		2741			----zero_info----
472		2931			----zero_info----
473		3256			----zero_info----
474		3607			----zero_info----
475		3856			----zero_info----
476		4453			----zero_info----
477		4854			----zero_info----
478		5088			----zero_info----
479		5608			----zero_info----
480		5903			----zero_info----
481		6200			----zero_info----
482		6623			----zero_info----
483		6959			----zero_info----
484		7696			----zero_info----
485		8415			----zero_info----
486		8910			----zero_info----
487		9571			----zero_info----
488		10341			----zero_info----
489		11294			----zero_info----
490		12258			----zero_info----
491		13278			----zero_info----
