	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
203		5483			5483
204		13704			19145
205		27418			32841
206		57584			105240

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
171		1			1
183		7			7
185		12			12
186		13			13
187		22			22
188		24			24
189		37			37
190		40			40
191		58			58
192		60			60
193		82			82
194		85			85
195		115			115
196		127			127
197		158			156
198		177			177
199		212			210
200		237			237
201		279			281
202		313			307
203		369			355
204		425			397
205		519			689
206		645			493
207		879			552
208		1417			514
209		2191			11509
210		3622			703
211		6463			520
212		12025			963
213		23139			131404
214		45159			4736
215		89134			816
216		176849			656308
217		352249			1099
218		702692			1510
219		1.40362e+06			2008
220		2.80487e+06			2619
221		5.60755e+06			165547

p26.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
341		14			14
342		60			58
343		81			69
344		146			162
345		176			206
346		272			313
347		324			315
348		498			376
349		618			773
350		1053			1243
351		1405			1535
352		2842			3597
353		4067			3599
354		9506			11499
355		14257			14650
356		36035			30959
357		56368			50063
358		146419			347420
359		234034			427744

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
155		1			1
156		2			2
157		3			3
158		4			4
159		5			5
160		6			6
161		7			7
162		8			8
163		9			9
164		10			10
165		11			11
166		12			12
167		13			13
168		17			6
169		18			6
170		26			12
171		27			12
172		39			18
173		40			18
174		59			34
175		63			164
176		92			324
177		99			371
178		148			75
179		161			123
180		274			30
181		298			75
182		647			179
183		698			974
184		1949			3860
185		2054			2322
186		6835			313
187		7033			391
188		25798			994
189		26185			114240
190		100736			27990
191		101663			6143
192		399417			985276
193		402441			593139

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
403		1			1
406		2			2
408		6			6
409		7			7
410		8			8
411		12			11
412		23			26
413		24			20
414		31			35
415		33			29
417		53			60
418		58			63
419		62			56
420		64			74
421		66			69
422		68			62
423		76			80
424		86			91
425		95			86
426		107			113
427		119			131
428		147			144
429		148			144
430		164			146
431		218			182
432		239			320
433		327			300
434		370			242
435		403			387
436		467			482
437		511			496
438		724			697
439		791			960
440		883			1209
441		975			1218
442		1117			1044
443		1413			1877
444		1639			966
445		1833			2777
446		2043			2059
447		2212			2499
448		2495			2901
449		2907			2220
450		3325			3129
451		3839			2985
452		4381			4081
453		5225			4568
454		5946			4266
455		6454			5811
456		7484			9236
457		8743			11160
458		9901			9801
459		11410			12590
460		13025			9035
461		14481			9532
462		16676			14777
463		19223			17951
464		22122			12749
465		25267			25179
466		28639			40107
467		32400			33283
468		36590			31570
469		42836			39030

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
444		2			2
445		3			3
451		7			7
452		9			9
453		10			10
455		17			18
456		18			19
459		19			20
461		28			30
462		37			33
463		39			35
464		44			43
465		48			61
466		63			71
467		68			67
468		83			67
469		92			78
470		110			129
471		111			104
472		138			130
473		149			158
474		159			153
475		182			155
476		203			223
477		264			291
478		296			342
479		383			563
480		421			401
481		479			499
482		560			573
483		614			679
484		685			831
485		821			583
486		903			1001
487		1015			1354
488		1264			1345
489		1432			1483
490		1653			1902
491		1818			2176
492		2121			2470
493		2510			2999
494		2711			2589
495		3055			3011
496		3472			5227
497		3785			2916
498		4194			3352
499		4721			4676
500		5365			2738
501		6062			4246
502		6824			5146
503		8229			4585
504		9552			11774
505		11034			10502
506		12649			10652
507		14524			15081

p28.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
379		1			1
384		2			2
390		3			3
393		4			4
397		7			----zero_info----
402		8			8
403		9			9
405		12			11
406		15			17
407		17			14
408		18			17
409		21			30
410		25			21
411		27			21
412		33			26
413		40			29
414		52			39
