	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
bound		ida*-bfs (exp)		ss-bfs (exp)
275		3			3
277		5			5
281		7			7
282		10			7
284		11			7
288		20			24
289		21			24
290		26			28
293		32			36
294		43			46
295		72			43
296		83			117
297		103			102
298		108			104
299		125			74
300		136			74
301		187			202
302		218			106
303		250			207
304		279			167
305		295			132
306		335			266
307		392			269
308		483			540
309		563			288
310		639			294
311		713			570
312		797			576
313		902			217
314		1168			176
315		1388			803
316		1630			2665
317		1901			2515
318		2102			1195
319		2441			464
320		2839			320
321		3522			2496
322		4123			534
323		4708			2133
324		5299			9688
325		5845			2326
326		6630			12107
327		7829			4849
328		9328			8445
329		10634			7098
330		11994			8342
331		13305			8496
332		15051			10343
333		17868			6605
334		20848			6031
335		24280			7979
336		27322			21813
337		31215			17141
338		35350			12695
339		40585			3130
340		48234			28745
341		56388			3637
342		64368			17231
343		72900			38040

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
269		2			2
271		3			3
282		6			6
283		9			9
284		12			14
285		15			15
288		20			16
290		24			24
291		25			25
292		26			26
293		27			27
294		31			24
295		39			39
296		57			80
297		74			58
298		93			153
299		105			115
300		106			66
301		113			69
302		139			88
303		149			77
304		196			67
305		215			150
306		239			459
307		275			309
308		310			164
309		371			317
310		458			178
311		529			1319
312		630			333
313		713			263
314		794			1674
315		921			245
316		1076			194
317		1276			469
318		1535			478
319		1793			2034
320		2068			2212
321		2458			936
322		2928			3233
323		3576			3171
324		4292			1242
325		5058			13863
326		6001			1198
327		6962			3553
328		8314			3240
329		9748			9003
330		11870			3929
331		13952			2033
332		16946			17545
333		20029			5498
334		23961			6644
335		28733			19169
336		34612			63707
337		41705			25698
338		50406			7740

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
209		1			1
210		3			3
211		6			6
212		10			10
213		15			15
214		21			21
215		28			28
216		36			36
217		45			45
218		55			55
219		66			66
220		78			78
221		91			91
222		105			105
223		120			120
224		136			136
225		153			153
226		171			171
227		190			190
228		210			210
229		231			231
230		253			253
231		276			276
232		300			300
233		325			325
234		351			351
235		378			378
236		406			406
237		435			435
238		465			465
239		496			496
240		528			528
241		561			561
242		595			595
243		630			630
244		666			666
245		703			703
246		741			741
247		780			780
248		820			820
249		861			861
250		904			1764
251		950			8
252		999			7392
253		1055			33
254		1118			41
255		1196			107
256		1289			161
257		1409			540
258		1556			186
259		1746			896
260		1979			44
261		2275			53
262		2634			535
263		3083			791
264		3624			1361
265		4292			1181
266		5097			608
267		6098			129
268		7347			147
269		9001			167
270		11314			189
271		14885			213
272		20906			4687
273		31986			267
274		53583			577
275		97356			2482
276		187877			2615
277		377087			399
278		774208			647

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
160		1			1
317		3			3
318		9			9
319		17			17
320		33			33
321		65			65
322		129			129
323		257			257
324		513			513
325		1025			1025
326		2049			2049
327		4097			4097
328		8193			8193
329		16385			16385
330		32769			32769
331		65537			65537
332		131073			131073
333		262145			262145
334		524289			524289
335		1.04858e+06			1.04858e+06
336		2.09715e+06			2.09715e+06
337		4.1943e+06			4.1943e+06
338		8.38861e+06			8.38861e+06
339		1.67772e+07			1.67772e+07
340		3.35544e+07			3.35544e+07

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
95		2			2
96		8			8
97		31			29
98		96			83
99		304			272
100		854			812
101		2509			2162
102		6767			5943
103		19209			17016
104		50769			42108
105		141552			112368
106		370027			308841
107		1.0213e+06			799248
108		2.65292e+06			1.58884e+06
109		7.27918e+06			7.50389e+06
110		1.88379e+07			2.64773e+07
111		5.15077e+07			3.78207e+07
112		1.33002e+08			8.4716e+07

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		1			1
256		2			2
257		3			3
258		4			4
259		5			5
260		6			6
261		7			7
262		8			8
263		9			9
264		10			10
265		11			11
266		12			12
267		13			13
268		14			14
269		15			15
270		16			16
271		17			17
272		18			18
273		19			19
274		20			20
275		21			21
276		22			22
277		23			23
278		24			24
279		25			25
280		26			26
281		27			27
282		28			28
283		29			29
284		30			30
285		31			31
286		32			32
287		33			33
288		34			34
289		35			35
290		36			36
291		37			37
292		38			38
293		39			39
294		40			40
295		41			41
296		42			42
297		43			43
298		46			130
299		50			13
300		57			10
301		68			121
302		86			202
303		118			19
304		173			22
305		278			175
306		470			28
307		848			31
308		1569			34
309		3004			37
310		5806			40
311		11402			43
312		22461			4
313		44570			15430
314		88526			20614
315		176430			34425

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
