	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
323		4.47692e+07			1.00668e+08
324		8.95227e+07			8.68229e+08

p01.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
209		1			1
210		3			3
211		6			6
212		10			10
213		15			15
214		21			21
215		28			28
216		36			36
217		45			45
218		55			55
219		66			66
220		78			78
221		91			91
222		105			105
223		120			120
224		136			136
225		153			153
226		171			171
227		190			190
228		210			210
229		231			231
230		253			253
231		276			276
232		300			300
233		325			325
234		351			351
235		378			378
236		406			406
237		435			435
238		465			465
239		496			496
240		528			528
241		561			561
242		595			595
243		630			630
244		666			666
245		703			703
246		741			741
247		780			780
248		820			820
249		861			861
250		904			732
251		950			1106
252		999			819.2
253		1055			1905.4
254		1118			41.3
255		1196			62.5
256		1289			83.1
257		1409			137
258		1556			366.6
259		1746			156.8
260		1979			147.8
261		2275			183.1
262		2634			3699.9
263		3083			852.3
264		3624			1421.5
265		4292			887.9
266		5097			4001.4
267		6098			4093.8
268		7347			1323.7
269		9001			2455.7
270		11314			3427.4
271		14885			5966.1
272		20906			16759.2
273		31986			7763.5
274		53583			37573.1
275		97356			58847.2
276		187877			96378.4
277		377087			555202
278		774208			1.52675e+06
279		1.60868e+06			2.60359e+06
280		3.36109e+06			3.56419e+06
281		7.0364e+06			4.7864e+06
282		1.47317e+07			1.25977e+07
283		3.08163e+07			1.30985e+07
284		6.43776e+07			2.19188e+07
285		1.3429e+08			1.28886e+08
286		2.79701e+08			3.63599e+08

p10.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
70		2			2
71		9			9
72		33			33
73		114			114.6
74		384			397.1
75		1271			1105.9
76		4151			4075.5
77		13416			13217.7
78		43014			38778.8
79		137061			132120
80		434637			408622
81		1.37301e+06			1.19224e+06
82		4.32369e+06			3.64386e+06
83		1.35798e+07			8.80285e+06
84		4.25547e+07			4.2724e+07

p04.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
235		1			1
249		2			2
259		3			3
265		4			4
273		8			8.6
274		10			10.6
275		13			13.2
276		17			16.6
277		23			21.4
278		27			27.4
279		34			33.8
280		39			40
281		45			42.8
282		52			48.2
283		63			61.3
284		70			69.3
285		78			64.4
286		86			94.8
287		95			89.6
288		104			112.4
289		114			129.6
290		129			143.2
291		144			162.9
292		155			141
293		167			201.2
294		179			163.6
295		194			187.1
296		209			227.4
297		239			213.9
298		266			268
299		308			373.8
300		357			324.5
301		432			159.1
302		515			368.2
303		638			291.9
304		774			246.4
305		964			201.4
306		1168			315.3
307		1444			535.3
308		1732			698.9
309		2106			358952
310		2495			1501.9
311		2980			587.8
312		3490			3252.1
313		4124			750.9
314		4788			7221.9
315		5613			21346
316		6482			1401.8
317		7541			582.2
318		8676			797.7
319		10057			13260.9
320		11533			636.1
321		13367			4061.8
322		15361			1815.2
323		17849			1396.9
324		20611			3320.9
325		24118			991.2
326		28010			1208.5
327		33021			3633.5
328		38655			2575.5
329		45989			3780.3
330		54416			133620
331		65731			5459.5
332		79479			16313.2
333		99383			8512.8
334		127095			5621
335		173079			165836
336		250290			59944
337		397323			129290
338		680014			335673
339		1.26002e+06			702137
340		2.44232e+06			1.0936e+06
341		4.9319e+06			1.42632e+06
342		1.00985e+07			3.4658e+07
343		2.10422e+07			9.95894e+07
344		4.38324e+07			2.66091e+08
345		9.20834e+07			3.01064e+07

p06.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
94		1			1
109		2			2
113		6			6
121		7			7
122		10			9.2
123		12			11.8
124		14			13.9
125		21			21.2
126		23			22.2
127		25			23.6
128		27			28.4
129		29			30.8
130		32			35
131		40			38.7
132		55			52.8
133		65			60.6
134		76			79.8
135		88			100.8
136		101			74.4
137		115			137.8
138		130			92.8
139		146			96.1
140		173			197.2
141		227			273.8
142		265			222.4
143		307			366.8
144		353			386.2
145		408			340.5
146		468			411.2
147		544			264.6
148		622			518.9
149		711			333.6
150		828			863.4
151		978			526.1
152		1143			1029.2
153		1338			16633.4
154		1581			1291.9
155		1879			1755.9
156		2254			1062.4
157		2744			833.7
158		3394			630.2
159		4352			1291.5
160		5820			10340.4
161		8217			3025.6
162		12375			10385.7
163		19982			4510.4
164		34215			3160.4
165		61618			4743.8
166		115150			10088.7
167		220704			12841.2
168		430102			5366.6
169		846877			12088.1
170		1.67801e+06			33602.6
171		3.33735e+06			32982.6
172		6.65279e+06			2.17695e+06
173		1.328e+07			5.52388e+08
174		2.65302e+07			22947.3
175		5.30267e+07			132512
176		1.06017e+08			2.65417e+06

p17.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
68		2			2
69		5			5
70		9			9
71		14			14
72		20			20
73		27			27
74		35			35
75		44			44
76		54			54
77		65			65
78		77			77
79		90			90
80		104			104
81		119			119
82		138			148.4
83		159			146.8
84		188			83.4
85		221			47.7
86		271			27
87		331			75.7
88		422			166
89		538			64.8
90		718			90.1
91		986			251.2
92		1443			1094.5
93		2222			1077.8
94		3651			1576
95		6300			5914.1
96		11394			6833.3
97		21268			13182.7
98		40702			42056.9
99		79106			32966.2
100		155493			109454
101		307716			135291
102		611935			792969
103		1.22046e+06			431547
104		2.43927e+06			1.19704e+06
105		4.8815e+06			3.36763e+06
106		9.77825e+06			554782
107		1.95988e+07			5.30116e+06
108		3.93005e+07			5.80043e+06

p20.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
72		1			1
73		2			2
74		3			3
75		4			4
76		5			5
77		7			7
78		10			10
79		14			14
80		19			19
81		25			25
82		32			32
83		40			40
84		50			42.2
85		62			35
86		76			62
87		94			45.6
88		114			43.6
89		141			69.3
90		175			546
91		222			240.8
92		282			276
93		361			136.8
94		461			825.4
95		589			70.1
96		751			143.9
97		956			93.8
98		1215			179.4
99		1547			217
100		1974			753
101		2557			444
102		3384			830.1
103		4701			8112.6
104		6994			3934.7
105		11558			5344.7
106		21599			8814.4
107		45894			560.3
108		108573			176331
109		278302			220396
110		752787			191148
111		2.10934e+06			1.67544e+06
112		6.0464e+06			9.57121e+06
113		1.7593e+07			1.36722e+06

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
266		3			3
297		7			7
305		9			9
312		13			13
313		17			17
320		19			19
321		21			21
322		23			23
323		25			25
324		27			27
325		29			29
326		35			35
327		37			37
328		45			44.2
329		47			46.2
330		55			55
331		61			61
332		63			63
333		65			65
334		67			67
335		69			69
336		81			83.4
337		83			85.4
338		85			87.4
339		87			86.2
340		95			96.2
341		105			109.4
342		107			113
343		113			115.8
344		133			129.8
345		143			133
346		149			139
347		159			157
348		161			158.2
349		163			160.2
350		165			157
351		177			152.6
352		181			155.4
353		185			158.2
354		189			201.4
355		193			205
356		197			208.6
357		209			205.8
358		223			208.2
359		269			261.4
360		297			298.6
361		331			311
362		359			376.2
363		379			334.2
364		411			390.2
365		447			565.8
366		475			380.6
367		521			477.4
368		561			669.4
369		605			609
370		667			442.6
371		745			495.8
372		813			600.2
373		881			636.6
374		991			712.2
375		1121			757
376		1263			1063.4
377		1347			837.8
378		1465			1075
379		1561			1108.2
380		1675			1300.6
381		1781			1238.6
382		1929			1377
383		2067			1005.4
384		2215			998.6
385		2401			1404.8
386		2645			1379
387		2895			2583
388		3253			1471.6
389		3587			1951.4
390		4087			3765.6
391		4655			2657.4
392		5175			2144
393		5925			4040.8
394		6617			2855.4
395		7477			6794.2
396		8385			2986.2
397		9397			5853.8
398		10559			4299.4
399		11855			6408.2
400		13355			9214.4
401		15063			6961.6
402		16983			12508.8
403		19323			8758.4
404		21929			6280.4
405		25275			10366
406		28837			11390.6
407		32895			9947
408		37581			4970.8
409		42853			9910.6
410		49153			8255.8
411		56109			16447.4
412		64001			9546.6
413		72943			21825.8
414		83193			7829.6
415		94921			10606.6
416		108173			10319.4
417		123297			10550.2
418		140187			20007.4
419		159615			40346.6
420		181871			18826.4
421		206771			17685.2
422		235531			23293.6
423		267111			95149.8
424		303369			17023
425		344435			18166.6
426		390545			111792
427		443363			29758.8
428		502663			28578.4
429		570481			34887
430		647073			23719.8
431		734215			133661
432		833527			262791
433		946065			58010.4
434		1.07531e+06			632598
435		1.22177e+06			49488.4
436		1.38882e+06			137070
437		1.57977e+06			171061
438		1.79586e+06			812050
439		2.04477e+06			49262.4
440		2.32646e+06			54908.4
441		2.6479e+06			71819
442		3.01441e+06			82466.2
443		3.43196e+06			229961
444		3.9103e+06			72289.4
445		4.45556e+06			180205
446		5.07862e+06			372060
447		5.7889e+06			136001
448		6.60111e+06			114547
449		7.53215e+06			330025
450		8.59988e+06			150512
451		9.83504e+06			89275
452		1.1285e+07			415846
453		1.30613e+07			143698
454		1.54734e+07			237943
455		1.93058e+07			204728
456		2.71791e+07			5.30582e+07
457		4.6218e+07			940853
458		1.00384e+08			5.51719e+06
459		2.56954e+08			9.01604e+06

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
49		1			1
50		3			3
51		7			7
52		15			15
53		31			31
54		63			63
55		127			127
56		256			256
57		516			516
58		1041			1040.8
59		2104			2104
60		4265			4248
61		8684			8593.6
62		17798			17809.8
63		36821			36517
64		77188			79242.8
65		164755			125932
66		360129			413065
67		811079			910934
68		1.89256e+06			1.86374e+06
69		4.59219e+06			5.73826e+06
70		1.15975e+07			1.67424e+07
71		3.04182e+07			9.95526e+06
72		8.2475e+07			9.51728e+07

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
55		1			1
56		2			2
57		3			3
58		4			4
59		5			5
60		6			6
61		7			7
62		8			8
63		9			9
64		10			10
65		11			11
66		12			12
67		13			13
68		15			15
69		19			19
70		27			27
71		44			44
72		80			80
73		157			157
74		327			327
75		708			708
76		1593			1593
77		3727			3727
78		9089			9089
79		23092			23091
80		60939			60939
