Experiment 2: transport-opt08-strips using gapdb_deep heuristic with 500 probes



instance_name: p01_F_123.csv

A*:		{(0_ipdb, 112),(1_gapdb, 112),(2_lmcut, 126),(3_gapdb, 112),(4_mands, 112),(5_gapdb, 112),(6_gapdb, 112),(7_gapdb, 112),(8_gapdb, 112),(9_gapdb, 112),(10_gapdb, 112),(11_gapdb, 112),(12_gapdb, 112),}
ss:		{(0_ipdb, 1.39862e+14),(1_gapdb, 1.39663e+14),(2_lmcut, 1.43345e+14),(3_gapdb, 1.39663e+14),(4_mands, 1.39663e+14),(5_gapdb, 1.39663e+14),(6_gapdb, 1.39663e+14),(7_gapdb, 1.39663e+14),(8_gapdb, 1.39663e+14),(9_gapdb, 1.39663e+14),(10_gapdb, 1.39663e+14),(11_gapdb, 1.39663e+14),(12_gapdb, 1.39663e+14),}

Measure_1:

-A* h1/h2
	(7_gapdb, 8_gapdb):	1	-	1	=	0
	(7_gapdb, 9_gapdb):	1	-	1	=	0
	(7_gapdb, 10_gapdb):	1	-	1	=	0
	(7_gapdb, 11_gapdb):	1	-	1	=	0
	(7_gapdb, 12_gapdb):	1	-	1	=	0
	(8_gapdb, 1_gapdb):	1	-	1	=	0
	(8_gapdb, 3_gapdb):	1	-	1	=	0
	(8_gapdb, 4_mands):	1	-	1	=	0
	(8_gapdb, 5_gapdb):	1	-	1	=	0
	(8_gapdb, 6_gapdb):	1	-	1	=	0
	(8_gapdb, 7_gapdb):	1	-	1	=	0
	(8_gapdb, 9_gapdb):	1	-	1	=	0
	(8_gapdb, 10_gapdb):	1	-	1	=	0
	(8_gapdb, 11_gapdb):	1	-	1	=	0
	(8_gapdb, 12_gapdb):	1	-	1	=	0
	(9_gapdb, 1_gapdb):	1	-	1	=	0
	(9_gapdb, 3_gapdb):	1	-	1	=	0
	(9_gapdb, 4_mands):	1	-	1	=	0
	(9_gapdb, 5_gapdb):	1	-	1	=	0
	(9_gapdb, 6_gapdb):	1	-	1	=	0
	(9_gapdb, 7_gapdb):	1	-	1	=	0
	(9_gapdb, 8_gapdb):	1	-	1	=	0
	(9_gapdb, 10_gapdb):	1	-	1	=	0
	(9_gapdb, 11_gapdb):	1	-	1	=	0
	(9_gapdb, 12_gapdb):	1	-	1	=	0
	(10_gapdb, 1_gapdb):	1	-	1	=	0
	(10_gapdb, 3_gapdb):	1	-	1	=	0
	(10_gapdb, 4_mands):	1	-	1	=	0
	(10_gapdb, 5_gapdb):	1	-	1	=	0
	(10_gapdb, 6_gapdb):	1	-	1	=	0
	(10_gapdb, 7_gapdb):	1	-	1	=	0
	(10_gapdb, 8_gapdb):	1	-	1	=	0
	(10_gapdb, 9_gapdb):	1	-	1	=	0
	(10_gapdb, 11_gapdb):	1	-	1	=	0
	(10_gapdb, 12_gapdb):	1	-	1	=	0
	(11_gapdb, 1_gapdb):	1	-	1	=	0
	(11_gapdb, 3_gapdb):	1	-	1	=	0
	(11_gapdb, 4_mands):	1	-	1	=	0
	(11_gapdb, 5_gapdb):	1	-	1	=	0
	(11_gapdb, 6_gapdb):	1	-	1	=	0
	(11_gapdb, 7_gapdb):	1	-	1	=	0
	(11_gapdb, 8_gapdb):	1	-	1	=	0
	(11_gapdb, 9_gapdb):	1	-	1	=	0
	(11_gapdb, 10_gapdb):	1	-	1	=	0
	(11_gapdb, 12_gapdb):	1	-	1	=	0
	(12_gapdb, 1_gapdb):	1	-	1	=	0
	(12_gapdb, 3_gapdb):	1	-	1	=	0
	(12_gapdb, 4_mands):	1	-	1	=	0
	(12_gapdb, 5_gapdb):	1	-	1	=	0
	(12_gapdb, 6_gapdb):	1	-	1	=	0
	(12_gapdb, 7_gapdb):	1	-	1	=	0
	(12_gapdb, 8_gapdb):	1	-	1	=	0
	(12_gapdb, 9_gapdb):	1	-	1	=	0
	(12_gapdb, 10_gapdb):	1	-	1	=	0
	(12_gapdb, 11_gapdb):	1	-	1	=	0
	(0_ipdb, 1_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 3_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 4_mands):	1.00142	-	1	=	0.00142445
	(0_ipdb, 5_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 6_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 7_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 8_gapdb):	1.00142	-	1	=	0.00142445
